id,nome,categoria,preco
1,Smartphone Galaxy S23,Eletrônicos,883.83
2,Notebook Dell Inspiron 15,Eletrônicos,572.81
3,Smart TV LG 50 polegadas 4K,Eletrônicos,87.98
4,Fone de Ouvido Bluetooth Sony WH-1000XM5,Eletrônicos,787.78
5,Mouse sem Fio Logitech MX Master 3,Eletrônicos,441.73
6,Teclado Mecânico Redragon Kumara,Eletrônicos,560.4
7,Monitor Gamer AOC Hero 27'' 144Hz,Eletrônicos,951.86
8,Camiseta Básica Algodão (Branca),Roupas,626.36
9,Calça Jeans Masculina Slim,Roupas,263.2
10,Tênis de Corrida Nike Pegasus 40,Roupas,706.99
11,Jaqueta Corta-Vento Impermeável,Roupas,336.48
12,Vestido Floral de Verão,Roupas,992.24
13,Moletom com Capuz (Preto),Roupas,176.42
14,Arroz Integral 1kg,Alimentos,375.27
15,Feijão Carioca 1kg,Alimentos,917.48
16,Azeite de Oliva Extra Virgem 500ml,Alimentos,673.53
17,Café em Grãos Especial 250g,Alimentos,756.45
18,Chocolate Amargo 70% Cacau,Alimentos,182.57
19,Furadeira de Impacto Bosch 650W,Ferramentas,263.62
20,Kit de Chaves de Fenda (8 peças),Ferramentas,341.39
21,Alicate Universal Tramontina,Ferramentas,364.34
22,Trena a Laser 40m,Ferramentas,338.47
23,Bicicleta Aro 29 Mountain Bike,Esportes,361.36
24,Bola de Futebol Oficial (Campo),Esportes,911.75
25,Tapete de Yoga em PVC,Esportes,500.07
26,Kit Halteres 10kg,Esportes,516.42
27,Livro: O Hobbit - J.R.R. Tolkien,Livros,406.49
28,Livro: A Sutil Arte de Ligar o F*da-se,Livros,102.02
29,Livro: 1984 - George Orwell,Livros,463.23
30,Cadeira de Escritório Ergonômica,Móveis,309.26
31,Mesa de Jantar 4 Lugares (Madeira),Móveis,816.7
32,Sofá Retrátil 3 Lugares (Cinza),Móveis,228.27
33,Pãoo,1,0.07
